,Activity Date,Distance,Moving Time,Max Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Average Cadence,Average Heart Rate,Average Watts,Weighted Average Power,Wind Speed,Average Speed,Total Weight
520,2019-01-20 10:31:31,94.72,12568.0,62.63999862670899,864.0,874.0,657.2000122070312,853.0,82.07024383544922,131.7183074951172,130.55152893066406,145.0,,27.131763208147678,77.5
521,2019-01-22 13:06:43,43.59,5408.0,49.319999313354494,227.0,213.0,789.2000122070312,821.5999755859375,85.32967376708984,146.7764434814453,143.29566955566406,154.0,,29.017011834319526,77.5
522,2019-01-23 20:45:16,29.66,3718.0,47.5199993133545,165.0,149.0,814.0,846.0,83.8836898803711,131.73963928222656,144.61888122558594,161.0,,28.71866594943518,77.5
524,2019-01-29 20:47:27,28.16,3840.0,39.96000137329102,148.0,145.0,810.7999877929688,841.0,84.25221252441406,113.44635772705078,111.23177337646484,116.0,,26.4,77.5
525,2019-01-31 20:40:43,37.47,4911.0,58.67999725341797,233.0,231.0,767.7999877929688,823.0,83.43548583984375,119.59234619140624,132.45938110351562,148.0,,27.467318265119122,77.5
526,2019-02-01 20:57:57,27.81,3867.0,60.47999725341797,260.0,217.0,778.5999755859375,835.4000244140625,82.7455825805664,137.01034545898438,129.8807830810547,182.0,,25.889837083010086,77.5
528,2019-02-02 11:05:42,19.73,2534.0,66.96000137329102,260.0,264.0,735.0,816.0,84.63844299316406,160.11680603027344,164.82794189453125,170.0,,28.029992107340174,77.5
530,2019-02-05 20:44:57,44.6,5418.0,45.0,231.0,230.0,779.5999755859375,813.2000122070312,83.66819763183594,136.00738525390625,154.23680114746094,166.0,,29.634551495016613,77.5
531,2019-02-06 20:41:39,26.72,3836.0,41.03999862670898,164.0,157.0,787.4000244140625,827.7999877929688,80.98119354248047,116.01407623291016,122.30813598632812,140.0,,25.076120959332634,77.5
532,2019-02-07 20:40:20,44.48,5412.0,45.0,223.0,226.0,788.0,819.7999877929688,83.54500579833984,138.26939392089844,154.86474609375,168.0,,29.587583148558753,77.5
533,2019-02-09 18:35:24,56.61,7579.0,66.96000137329102,585.0,576.0,735.7999877929688,879.2000122070312,77.80570983886719,144.28131103515625,144.4420166015625,157.0,,26.88956326692176,77.5
534,2019-02-10 20:06:04,35.68,4742.0,49.680000686645506,276.0,287.0,783.2000122070312,856.2000122070312,82.92676544189453,136.18115234375,127.2169952392578,141.0,,27.087304934626744,77.5
535,2019-02-11 20:43:14,31.47,4136.0,58.67999725341797,241.0,238.0,778.0,832.0,83.11088562011719,123.00701141357422,134.41258239746094,144.0,,27.391682785299803,77.5
536,2019-02-12 20:41:20,42.15,5323.0,48.96000137329102,216.0,217.0,797.5999755859375,831.0,83.54039001464844,132.59158325195312,150.94607543945312,167.0,,28.506481307533345,77.5
537,2019-02-14 20:41:10,43.23,5304.0,44.28000068664551,225.0,228.0,802.7999877929688,834.2000122070312,83.75004577636719,136.1020050048828,157.0467529296875,165.0,,29.34162895927601,77.5
538,2019-02-16 19:08:55,32.72,4060.0,47.88000068664551,234.0,235.0,788.4000244140625,825.0,85.0910873413086,132.75961303710938,155.8933563232422,161.0,,29.012807881773394,77.5
543,2019-02-23 10:45:24,100.05,13358.0,68.76000137329102,941.0,949.0,526.5999755859375,700.7999877929688,83.48220825195312,136.77716064453125,128.45632934570312,140.0,,26.963617307980236,77.5
544,2019-02-24 21:21:37,29.1,3715.0,44.63999862670898,164.0,165.0,806.5999755859375,844.0,83.53972625732422,129.90237426757812,143.49757385253906,155.0,,28.199192462987888,77.5
545,2019-02-26 21:36:32,26.24,3677.0,40.680000686645506,147.0,142.0,820.5999755859375,853.7999877929688,81.40877532958984,110.59314727783205,122.44384002685548,133.0,,25.690508566766383,77.5
548,2019-03-03 10:31:12,123.94,16704.0,63.72000274658203,1505.0,1520.0,489.6000061035156,916.2000122070312,81.11631774902344,142.9025115966797,131.14305114746094,149.0,,26.711206896551722,77.5
549,2019-03-04 13:57:13,26.47,3725.0,51.11999931335449,146.0,137.0,806.7999877929688,836.5999755859375,85.05460357666016,118.34469604492188,117.02174377441406,124.0,,25.581744966442947,77.5
